End of Period,Loan Number,Region,Country Code,Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name ,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Loans Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date
7/31/2020 0:00,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000,0,0,250000000,38000,0,0,0,249962000,249962000,0,0,11/1/1952 0:00,5/1/1977 0:00,5/9/1947 0:00,5/9/1947 0:00,6/9/1947 0:00,12/31/1947 0:00,
7/31/2020 0:00,IBRD00020,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.25,,P037452,RECONSTRUCTION,191044211.8,0,0,191044211.8,103372211.8,0,0,0,87672000,87672000,0,0,4/1/1952 0:00,10/1/1972 0:00,8/7/1947 0:00,8/7/1947 0:00,9/11/1947 0:00,3/31/1948 0:00,
7/31/2020 0:00,IBRD00021,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.25,,P037452,RECONSTRUCTION,3955788.25,0,0,3955788.25,0,0,0,0,3955788.25,3955788.25,0,0,4/1/1953 0:00,4/1/1954 0:00,5/25/1948 0:00,8/7/1947 0:00,6/1/1948 0:00,6/30/1948 0:00,
7/31/2020 0:00,IBRD00030,EUROPE AND CENTRAL ASIA,DK,Denmark,,,,NPL,Fully Repaid,4.25,,P037362,RECONSTRUCTION,40000000,0,0,40000000,17771000,0,0,0,22229000,22229000,0,0,2/1/1953 0:00,8/1/1972 0:00,8/22/1947 0:00,8/22/1947 0:00,10/17/1947 0:00,3/31/1949 0:00,
7/31/2020 0:00,IBRD00040,EUROPE AND CENTRAL ASIA,LU,Luxembourg,,,,NPL,Fully Repaid,4.25,,P037451,RECONSTRUCTION,12000000,238016.98,0,11761983.02,1619983.02,0,0,0,10142000,10142000,0,0,7/15/1949 0:00,7/15/1972 0:00,8/28/1947 0:00,8/28/1947 0:00,10/24/1947 0:00,3/31/1949 0:00,
7/31/2020 0:00,IBRD00050,LATIN AMERICA AND CARIBBEAN,CL,Chile,Ministry of Finance,CL,Chile,NPL,Fully Repaid,4.5,,P006578,POWER,13500000,0,0,13500000,12167000,0,0,0,1333000,1333000,0,0,7/1/1953 0:00,7/1/1968 0:00,3/25/1948 0:00,3/25/1948 0:00,4/7/1949 0:00,12/31/1954 0:00,
7/31/2020 0:00,IBRD00060,LATIN AMERICA AND CARIBBEAN,CL,Chile,Ministry of Finance,CL,Chile,NPL,Fully Repaid,3.75,,P006577,FOMENTO AGRIC CREDIT,2500000,0,0,2500000,755000,0,0,0,1745000,1745000,0,0,7/1/1950 0:00,1/1/1955 0:00,3/25/1948 0:00,3/25/1948 0:00,4/7/1949 0:00,1/1/1950 0:00,
7/31/2020 0:00,IBRD00070,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037453,SHIPPING I,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2020 0:00,IBRD00071,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037453,SHIPPING I,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2020 0:00,IBRD00080,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037454,SHIPPING II,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2020 0:00,IBRD00090,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037455,SHIPPING III,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2020 0:00,IBRD00100,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037456,SHIPPING IV,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2020 0:00,IBRD00101,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037456,SHIPPING IV,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2020 0:00,IBRD00111,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Minist̩rio da Fazenda,BR,Brazil,NPL,Fully Repaid,4.5,,P006214,POWER AND TELEPHONE,75000000,0,0,75000000,70971588.97,0,0.01,0.01,4028411.03,4028411.03,0,0,7/1/1953 0:00,1/1/1974 0:00,1/27/1949 0:00,1/27/1949 0:00,5/9/1949 0:00,12/31/1953 0:00,
7/31/2020 0:00,IBRD00112,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Minist̩rio da Fazenda,BR,Brazil,NPL,Fully Repaid,4.25,,P006214,POWER AND TELEPHONE,15000000,0,0,15000000,15000000,0,0,0,0,0,0,0,7/1/1955 0:00,1/1/1976 0:00,1/18/1951 0:00,1/16/1951 0:00,4/10/1951 0:00,12/31/1954 0:00,
7/31/2020 0:00,IBRD00120,LATIN AMERICA AND CARIBBEAN,MX,Mexico,Secretaria de Hacienda Y Credito Publico,MX,Mexico,NPL,Fully Repaid,4.5,,P007497,POWER I,24100000,0,0,24100000,20131700,0,0,0,3968300,3968300,0,0,2/1/1953 0:00,8/1/1973 0:00,1/6/1949 0:00,1/6/1949 0:00,3/15/1949 0:00,3/31/1956 0:00,
